,ticker,finbert_sentiment,sentiment_intensity
0,text,positive,0.2194530310069146
1,text,neutral,0.13882796058869457
2,text,positive,0.22103263794888986
3,text,positive,0.2761527114776391
4,text,neutral,0.12328597430217679
5,text,positive,0.7896394110545615
6,text,positive,0.6116955215655773
7,text,positive,0.2617850561964898
8,text,negative,0.04383374135518162
9,text,negative,0.05710780661710765
10,text,neutral,0.1910154844296246
11,text,negative,0.01878276478956546
12,text,positive,0.7151110422644894
13,text,negative,0.06043445146191457
14,text,positive,0.646410986999399
15,text,positive,0.20278196364874673
16,text,positive,0.2649971776140415
17,text,positive,0.6000431109053018
18,text,positive,0.29473111441435673
19,text,neutral,0.10351644382881992
20,text,positive,0.3003046825478547
21,text,negative,0.08667731260298718
22,text,neutral,0.1344004452181253
23,text,positive,0.3931898280697263
24,text,neutral,0.15929192420712107
25,text,positive,0.4220562204133813
26,text,negative,0.04143298158341283
27,text,positive,0.2208361036001154
28,text,positive,0.21259964154203265
29,text,negative,0.01318275223269083
30,text,positive,0.2630236208103206
31,text,positive,0.48833483429434826
32,text,positive,0.8494154294076853
33,text,neutral,0.1443682196489285
34,text,positive,0.300381037041916
35,text,negative,0.07011618131490298
36,text,negative,-0.10015593732746
37,text,positive,0.2035356660850855
38,text,positive,0.2309542437459775
39,text,negative,0.08279168056070263
40,text,positive,0.2911526809695594
41,text,neutral,0.1931937986611289
42,text,positive,0.2875939426669247
43,text,positive,0.3109322884739753
44,text,neutral,0.1319011308877902
45,text,negative,0.08879549733120552
46,text,neutral,0.15848130427687943
47,text,positive,0.20246885279277038
48,text,neutral,0.10860692967717697
49,text,negative,-0.012731137919354034
50,text,negative,0.02324630246266679
51,text,neutral,0.16417905708674155
52,text,neutral,0.13953825684298363
53,text,neutral,0.10713210455570694
54,text,negative,0.00593819421075229
55,text,negative,-0.0971026718047333
56,text,negative,0.046484889960189034
57,text,neutral,0.1637303643473517
58,text,neutral,0.10636831805180239
59,text,positive,0.374994484102217
60,text,positive,0.23275717981685023
61,text,neutral,0.17940503980657924
62,text,positive,0.36410446625063236
63,text,positive,0.799578829242226
64,text,neutral,0.17648474381641296
65,text,positive,0.4019394440237578
66,text,negative,0.006418809708135157
67,text,positive,0.23161722439837001
68,text,positive,0.21393395059228365
69,text,positive,0.33552030749668393
70,text,negative,0.06205353468303601
71,text,neutral,0.16687194840658154
72,text,positive,0.4061125852261762
73,text,positive,0.42712132285707743
74,text,positive,0.2098831950171566
75,text,negative,-0.03842682559599484
76,text,neutral,0.1732524238236873
77,text,neutral,0.1914263021676002
78,text,positive,0.2861775191915639
79,text,positive,0.43108805345098533
80,text,negative,0.09422271421239133
81,text,positive,0.23781426338989342
82,text,neutral,0.17458518830664232
83,text,positive,0.2846001047901799
84,text,positive,0.23618679294568162
85,text,positive,0.35132498034026854
86,text,negative,0.02400999956832867
87,text,neutral,0.1550574699038578
88,text,neutral,0.13178991036883347
89,text,neutral,0.19812892841825083
90,text,neutral,0.16439069109218202
91,text,positive,0.25918008033217577
92,text,positive,0.3084817713836433
93,text,negative,-0.08226260014261927
94,text,positive,0.29996500941514315
95,text,negative,0.05720612094823688
96,text,neutral,0.15480483415548094
97,text,neutral,0.12281797659413082
98,text,positive,0.2455423428825559
99,text,negative,0.05503907004665402
100,text,positive,0.32766476671451994
101,text,positive,0.4025465204763832
102,text,neutral,0.10027322180197604
103,text,positive,0.23284838453768897
104,text,positive,0.3444978142681799
105,text,positive,0.32375087827486676
106,text,positive,0.4229578702391138
107,text,negative,0.0041069963876272575
108,text,positive,0.2711819499166624
109,text,positive,0.4616094685031343
110,text,positive,0.2615598611246554
111,text,negative,0.08574727415481978
112,text,neutral,0.11391422614217349
113,text,positive,0.24892437663997957
114,text,neutral,0.15514598945278957
115,text,neutral,0.11578168815241786
116,text,positive,0.28535602574458324
117,text,neutral,0.17015699921836036
118,text,positive,0.2640985215884552
119,text,neutral,0.17388807032645653
120,text,negative,0.0495826509042537
121,text,neutral,0.17809853215426943
122,text,neutral,0.10167153592326807
123,text,positive,0.2382153211531244
124,text,negative,0.00771449461008383
125,text,neutral,0.15341644509749752
126,text,neutral,0.1901990227845824
127,text,neutral,0.1423810630125407
128,text,negative,0.09760218064074506
129,text,neutral,0.11308862194821581
130,text,positive,0.2129759531346207
131,text,positive,0.8505458429468981
132,text,neutral,0.13443110825064664
133,text,neutral,0.11776632061610737
134,text,negative,0.08578745428085469
135,text,positive,0.27212890634734777
136,text,negative,-0.15623006762517985
137,text,positive,0.7646212574784852
138,text,positive,0.21912571835962477
139,text,positive,0.2430284079039302
140,text,positive,0.39261589623004517
141,text,positive,0.21959558276636096
142,text,positive,0.30592952528602757
143,text,positive,0.20793390406686418
144,text,positive,0.24328205272566433
145,text,positive,0.30624396010963323
146,text,neutral,0.17843567623444306
147,text,neutral,0.11530352015775878
148,text,positive,0.25203719178462225
149,text,positive,0.4137433862549505
150,text,positive,0.22069970753214452
151,text,positive,0.25267704691060977
152,text,positive,0.33334725994899367
153,text,negative,0.0813306577107187
154,text,positive,0.32717684628522137
155,text,positive,0.3364916764938775
156,text,negative,0.08817998698328453
157,text,neutral,0.14308214274066844
158,text,positive,0.352703064736485
159,text,neutral,0.10818900478681177
160,text,positive,0.36227389808422766
161,text,neutral,0.11095358761846952
162,text,positive,0.37543837155727333
163,text,negative,0.0685938495170649
164,text,neutral,0.16012380750631036
165,text,neutral,0.16973893540020768
166,text,negative,0.010685531939028246
167,text,neutral,0.17382986394744404
